,구분,일,미세먼지,사용일자
591,양천구,23,25,20240823
592,영등포구,23,28,20240823
593,용산구,23,31,20240823
594,은평구,23,30,20240823
595,종로구,23,28,20240823
596,중구,23,27,20240823
597,중랑구,23,30,20240823
598,서울시 평균,24,39,20240824
599,강남구,24,41,20240824
600,강동구,24,41,20240824
601,강북구,24,42,20240824
602,강서구,24,39,20240824
603,관악구,24,44,20240824
604,광진구,24,42,20240824
605,구로구,24,32,20240824
606,금천구,24,40,20240824
607,노원구,24,41,20240824
608,도봉구,24,35,20240824
609,동대문구,24,44,20240824
610,동작구,24,39,20240824
611,마포구,24,38,20240824
612,서대문구,24,33,20240824
613,서초구,24,36,20240824
614,성동구,24,40,20240824
615,성북구,24,38,20240824
616,송파구,24,44,20240824
617,양천구,24,34,20240824
618,영등포구,24,38,20240824
619,용산구,24,43,20240824
620,은평구,24,36,20240824
621,종로구,24,37,20240824
622,중구,24,36,20240824
623,중랑구,24,42,20240824
624,서울시 평균,25,37,20240825
625,강남구,25,41,20240825
626,강동구,25,37,20240825
627,강북구,25,38,20240825
628,강서구,25,37,20240825
629,관악구,25,41,20240825
630,광진구,25,41,20240825
631,구로구,25,29,20240825
632,금천구,25,36,20240825
633,노원구,25,38,20240825
634,도봉구,25,30,20240825
635,동대문구,25,46,20240825
636,동작구,25,38,20240825
637,마포구,25,39,20240825
638,서대문구,25,32,20240825
639,서초구,25,34,20240825
640,성동구,25,41,20240825
641,성북구,25,36,20240825
642,송파구,25,40,20240825
643,양천구,25,34,20240825
644,영등포구,25,36,20240825
645,용산구,25,44,20240825
646,은평구,25,33,20240825
647,종로구,25,37,20240825
648,중구,25,36,20240825
649,중랑구,25,43,20240825
650,서울시 평균,26,36,20240826
651,강남구,26,41,20240826
652,강동구,26,37,20240826
653,강북구,26,34,20240826
654,강서구,26,36,20240826
655,관악구,26,42,20240826
656,광진구,26,39,20240826
657,구로구,26,29,20240826
658,금천구,26,39,20240826
659,노원구,26,36,20240826
660,도봉구,26,29,20240826
661,동대문구,26,42,20240826
662,동작구,26,40,20240826
663,마포구,26,36,20240826
664,서대문구,26,29,20240826
665,서초구,26,35,20240826
666,성동구,26,39,20240826
667,성북구,26,33,20240826
668,송파구,26,41,20240826
669,양천구,26,34,20240826
670,영등포구,26,36,20240826
671,용산구,26,42,20240826
672,은평구,26,31,20240826
673,종로구,26,34,20240826
674,중구,26,33,20240826
675,중랑구,26,40,20240826
676,서울시 평균,27,21,20240827
677,강남구,27,22,20240827
678,강동구,27,20,20240827
679,강북구,27,21,20240827
680,강서구,27,23,20240827
681,관악구,27,21,20240827
682,광진구,27,21,20240827
683,구로구,27,14,20240827
684,금천구,27,22,20240827
685,노원구,27,22,20240827
686,도봉구,27,18,20240827
687,동대문구,27,24,20240827
688,동작구,27,23,20240827
689,마포구,27,22,20240827
690,서대문구,27,17,20240827
691,서초구,27,21,20240827
692,성동구,27,22,20240827
693,성북구,27,19,20240827
694,송파구,27,24,20240827
695,양천구,27,22,20240827
696,영등포구,27,23,20240827
697,용산구,27,25,20240827
698,은평구,27,16,20240827
699,종로구,27,20,20240827
700,중구,27,19,20240827
701,중랑구,27,21,20240827
702,서울시 평균,28,13,20240828
703,강남구,28,14,20240828
704,강동구,28,13,20240828
705,강북구,28,15,20240828
706,강서구,28,13,20240828
707,관악구,28,16,20240828
708,광진구,28,14,20240828
709,구로구,28,7,20240828
710,금천구,28,13,20240828
711,노원구,28,15,20240828
712,도봉구,28,10,20240828
713,동대문구,28,16,20240828
714,동작구,28,15,20240828
715,마포구,28,15,20240828
716,서대문구,28,11,20240828
717,서초구,28,13,20240828
718,성동구,28,15,20240828
719,성북구,28,13,20240828
720,송파구,28,15,20240828
721,양천구,28,13,20240828
722,영등포구,28,16,20240828
723,용산구,28,16,20240828
724,은평구,28,10,20240828
725,종로구,28,12,20240828
726,중구,28,12,20240828
727,중랑구,28,14,20240828
728,서울시 평균,29,10,20240829
729,강남구,29,11,20240829
730,강동구,29,8,20240829
731,강북구,29,10,20240829
732,강서구,29,9,20240829
733,관악구,29,11,20240829
734,광진구,29,10,20240829
735,구로구,29,4,20240829
736,금천구,29,9,20240829
737,노원구,29,10,20240829
738,도봉구,29,8,20240829
739,동대문구,29,11,20240829
740,동작구,29,11,20240829
741,마포구,29,11,20240829
742,서대문구,29,9,20240829
743,서초구,29,7,20240829
744,성동구,29,11,20240829
