,사용일자,노선명,역명,합계,구분
14977,20240809,3호선,종로3가,26133,종로구
34221,20240809,2호선,신답,3523,성동구
35877,20240809,2호선,문래,50755,영등포구
9271,20240809,9호선2~3단계,언주,26600,강남구
29463,20240809,3호선,불광,35451,은평구
9157,20240809,분당선,선정릉,16981,강남구
9363,20240809,7호선,어린이대공원,28266,광진구
27235,20240809,5호선,강동,38977,강동구
33831,20240809,경의선,신촌,2262,마포구
34129,20240809,2호선,용답,5719,성동구
3751,20240809,8호선,송파,19324,송파구
28707,20240809,6호선,구산,15261,은평구
11019,20240809,5호선,방화,14264,강서구
27902,20240809,6호선,합정,28763,마포구
13782,20240809,5호선,동대문역사문화공원,7526,중구
15645,20240809,5호선,충정로,9884,서대문구
8443,20240809,9호선2~3단계,삼전,16833,송파구
10283,20240809,5호선,신정,25351,양천구
12031,20240809,5호선,마장,11591,성동구
31921,20240809,2호선,잠실나루,30435,송파구
34681,20240809,3호선,구파발,44516,은평구
28155,20240809,6호선,마포구청,28815,마포구
11939,20240809,5호선,영등포시장,24697,영등포구
13066,20240809,6호선,청구,7737,중구
31829,20240809,2호선,강변,65837,광진구
9985,20240809,중앙선,양평,6424,영등포구
10375,20240809,5호선,까치산,56587,강서구
10467,20240809,5호선,화곡,56819,강서구
28063,20240809,6호선,망원,33194,마포구
27511,20240809,6호선,광흥창,18990,마포구
15343,20240809,5호선,서대문,42361,종로구
8745,20240809,2호선,종합운동장,29580,송파구
28477,20240809,6호선,디지털미디어시티,31250,은평구
34405,20240809,2호선,양천구청,14078,양천구
12675,20240809,5호선,행당,15809,성동구
15803,20240809,5호선,애오개,14290,마포구
3291,20240809,8호선,문정,47809,송파구
10099,20240809,5호선,오목교,45801,양천구
28247,20240809,6호선,월드컵경기장,8792,마포구
2854,20240809,9호선,김포공항,18619,강서구
10191,20240809,5호선,목동,36120,양천구
12473,20240809,경원선,왕십리,36231,성동구
29000,20240809,6호선,연신내,1,은평구
12767,20240809,5호선,신금호,13469,성동구
3199,20240809,8호선,장지,35055,송파구
34313,20240809,2호선,도림천,2770,구로구
10559,20240809,5호선,우장산,29873,강서구
9665,20240809,5호선,군자,24813,광진구
8351,20240809,9호선2~3단계,석촌고분,15533,송파구
27603,20240809,6호선,상수,23359,마포구
8903,20240809,9호선2~3단계,봉은사,53456,강남구
34913,20240809,경의선,홍대입구,5382,마포구
8995,20240809,9호선2~3단계,삼성중앙,17902,강남구
34497,20240809,2호선,신정네거리,21124,양천구
3593,20240809,3호선,가락시장,17938,송파구
30909,20240809,2호선,을지로입구,105028,중구
10651,20240809,5호선,발산,47743,강서구
29161,20240809,6호선,독바위,5853,은평구
16385,20240809,경의선,공덕,8241,마포구
30817,20240809,3호선,녹번,30173,은평구
34037,20240809,2호선,아현,21478,마포구
27327,20240809,5호선,광나루,25673,광진구
35785,20240809,2호선,구로디지털단지,121848,구로구
11781,20240809,5호선,영등포구청,9719,영등포구
33945,20240809,2호선,이대,32678,마포구
15251,20240809,5호선,광화문,72299,종로구
27419,20240809,5호선,강일,11445,강동구
9823,20240809,7호선,중곡,22158,광진구
26775,20240809,5호선,상일동,29668,강동구
16631,20240809,5호선,마포,31278,마포구
6673,20240809,2호선,신설동,7445,동대문구
32223,20240809,1호선,시청,53132,중구
20306,20240809,4호선,명동,68247,중구
20214,20240809,4호선,회현,46786,중구
20122,20240809,4호선,숙대입구,29185,용산구
33209,20240809,3호선,경복궁,48552,종로구
26223,20240809,6호선,대흥,18630,마포구
30725,20240809,3호선,홍제,35198,서대문구
35325,20240809,2호선,방배,32488,서초구
19964,20240809,4호선,삼각지,14655,용산구
26315,20240809,5호선,마천,14377,송파구
26109,20240809,경의선,효창공원앞,7048,용산구
20605,20240809,3호선,충무로,12,중구
31645,20240809,2호선,성수,94215,성동구
25845,20240809,경춘선,신내,5181,중랑구
31461,20240809,2호선,한양대,17622,성동구
30107,20240809,2호선,건대입구,76129,광진구
21068,20240809,4호선,동대문,37218,종로구
6948,20240809,5호선,신길,10694,영등포구
25947,20240809,7호선,하계,34899,노원구
6051,20240809,7호선,청담,41232,강남구
690,20240809,7호선,가산디지털단지,94922,금천구
33117,20240809,2호선,잠실새내,50194,송파구
6212,20240809,6호선,보문,14978,성북구
20766,20240809,5호선,답십리,31469,성동구
31211,20240809,2호선,을지로3가,54591,중구
18772,20240809,3호선,교대,28126,서초구
35141,20240809,2호선,강남,181408,강남구
18471,20240809,3호선,남부터미널,66637,서초구
35969,20240809,2호선,봉천,49193,관악구
26683,20240809,5호선,둔촌동,18507,강동구
4053,20240809,9호선2~3단계,석촌,19452,송파구
29713,20240809,6호선,응암,35717,은평구
18379,20240809,3호선,양재,81762,서초구
33485,20240809,3호선,안국,54688,종로구
7615,20240809,9호선2~3단계,중앙보훈병원,24385,강동구
18173,20240809,분당선,도곡,15881,강남구
415,20240809,경인선,온수,11558,구로구
805,20240809,7호선,남구로,31648,구로구
7707,20240809,9호선2~3단계,둔촌오륜,2442,강동구
18011,20240809,3호선,대치,27670,강남구
18287,20240809,3호선,매봉,27024,강남구
5937,20240809,분당선,강남구청,22592,강남구
7501,20240809,9호선,당산,42071,영등포구
26591,20240809,5호선,방이,15673,송파구
19642,20240809,경원선,창동,2,도봉구
33301,20240809,1호선,종각,84951,종로구
35233,20240809,2호선,서초,43464,서초구
26407,20240809,5호선,거여,20572,송파구
7132,20240809,9호선,동작,3200,동작구
19417,20240809,4호선,노원,62663,노원구
19115,20240809,4호선,상계,37528,노원구
26499,20240809,5호선,개롱,13749,송파구
2185,20240809,8호선,강동구청,21870,강동구
29805,20240809,6호선,새절,24793,은평구
19023,20240809,4호선,당고개,18775,노원구
18931,20240809,3호선,잠원,10987,서초구
